# Simulation 1 (Up to date)
# 1094 data points written for 58 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# 时间 (s),高度 (m),Altitude above sea level (m),垂直速度 (m/s),总速度 (m/s),垂直加速度 (m/s²),总加速度 (m/s²),平行风位置 (m),迎风位置 (m),横向跨距 (m),水平方向 (°),横向速度 (m/s),横向加速度 (m/s²),纬度 (° N),经度 (° E),攻角 (°),滚转角速度 (°/s),俯仰角速度 (°/s),偏航角速度 (°/s),垂直方向 (天顶角) (°),水平方向 (方位角) (°),质量 (g),推进剂质量 (g),纵向转动惯量 (kg·m²),横向转动惯量 (kg·m²),重力加速度 (m/s²),CP 压心位置 (cm),CG 重心位置 (cm),稳定裕量 (​),推力 (N),Thrust-to-weight ratio (​),阻力 (N),阻力系数 (​),摩擦阻力系数 (​),压差阻力系数 (​),基准阻力系数 (​),轴向阻力系数 (​),法向力系数 (​),俯仰力矩系数 (​),偏航力矩系数 (​),侧向力系数 (​),滚转力矩系数 (​),滚转力系数 (​),滚转阻尼系数 (​),俯仰阻尼系数 (​),风速 (m/s),Wind direction (°),空气温度 (°C),空气压力 (mbar),Air density (g/cm³),音速 (m/s),马赫数 (​),雷诺数 (​),参考长度 (cm),参考面积 (cm²),模拟时间步 (s),计算时间 (s),科里奥利加速度 (m/s²)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.067,0.202,0.202,5.457,5.457,63.788,63.788,-1.513e-4,0,1.513e-4,270,0.003,0,28.61,-80.6,19.121,0,0,0,90,0,928.72,194.229,0.297,0.001,9.792,NaN,91.954,NaN,68.432,7.525,0.097,0.576,0.377,0.078,0.12,0.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.895,90,14.999,1013.226,0.001,340.388,0.017,6.462e5,9,63.617,0.01,0.003,6.987e-4
0.077,0.26,0.26,6.112,6.112,67.125,67.125,-1.813e-4,0,1.813e-4,270,0.003,0,28.61,-80.6,17.314,0,0,0,90,0,928.391,193.9,0.297,0.001,9.792,NaN,91.93,NaN,71.527,7.868,0.118,0.568,0.369,0.078,0.12,0.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.908,90,14.998,1013.22,0.001,340.388,0.019,7.163e5,9,63.617,0.007,0.003,7.825e-4
0.084,0.304,0.304,6.59,6.59,69.461,69.461,-2.024e-4,0,2.024e-4,270,0.003,0,28.61,-80.6,16.2,0,0,0,90,0,928.161,193.67,0.297,0.001,9.792,NaN,91.914,NaN,73.694,8.108,0.134,0.562,0.364,0.078,0.12,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.918,90,14.998,1013.214,0.001,340.388,0.02,7.678e5,9,63.617,0.01,0.003,8.438e-4
0.094,0.373,0.373,7.289,7.289,70.414,70.414,-2.324e-4,0,2.324e-4,270,0.003,0,28.61,-80.6,14.814,0,0,0,90,0,927.794,193.303,0.296,0.001,9.792,NaN,91.887,NaN,74.573,8.208,0.158,0.556,0.357,0.078,0.12,0.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.931,90,14.998,1013.206,0.001,340.387,0.022,8.436e5,9,63.617,0.01,0.003,9.333e-4
0.104,0.45,0.45,7.998,7.998,71.365,71.365,-2.625e-4,0,2.625e-4,270,0.003,0,28.61,-80.6,13.593,0,0,0,90,0,927.427,192.936,0.296,0.001,9.792,NaN,91.861,NaN,75.452,8.308,0.184,0.549,0.351,0.078,0.12,0.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.937,90,14.997,1013.197,0.001,340.387,0.024,9.206e5,9,63.617,0.01,0.004,0.001
0.114,0.533,0.533,8.717,8.717,72.317,72.317,-2.925e-4,0,2.925e-4,270,0.003,0,28.61,-80.6,12.482,0,0,0,90,0,927.06,192.569,0.296,0.001,9.792,NaN,91.834,NaN,76.33,8.408,0.211,0.544,0.345,0.078,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.933,90,14.997,1013.187,0.001,340.387,0.026,9.988e5,9,63.617,0.01,0.004,0.001
0.124,0.624,0.624,9.445,9.445,73.267,73.267,-3.226e-4,0,3.226e-4,270,0.003,0,28.61,-80.6,11.52,0,0,0,90,0,926.693,192.202,0.296,0.001,9.792,NaN,91.808,NaN,77.209,8.509,0.239,0.539,0.34,0.078,0.12,0.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.928,90,14.996,1013.177,0.001,340.386,0.028,1.078e6,9,63.617,0.011,0.004,0.001
0.135,0.733,0.733,10.256,10.256,74.311,74.311,-3.557e-4,0,3.557e-4,270,0.003,0,28.61,-80.6,10.603,0,0,0,90,0,926.289,191.798,0.296,0.001,9.792,NaN,91.779,NaN,78.176,8.619,0.273,0.533,0.335,0.078,0.12,0.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.923,90,14.995,1013.164,0.001,340.386,0.031,1.167e6,9,63.617,0.01,0.004,0.001
0.145,0.836,0.836,10.984,10.984,74.922,74.922,-3.85e-4,0,3.85e-4,270,0.003,0,28.61,-80.6,9.893,0,0,0,90,0,925.906,191.415,0.296,0.001,9.792,NaN,91.751,NaN,78.742,8.685,0.304,0.529,0.331,0.078,0.12,0.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.919,90,14.995,1013.152,0.001,340.386,0.033,1.247e6,9,63.617,0.009,0.004,0.001
0.154,0.939,0.939,11.669,11.669,75.491,75.491,-4.123e-4,0,4.123e-4,270,0.003,0,28.61,-80.6,9.402,0,0,0,90,0,925.549,191.058,0.295,0.001,9.792,NaN,91.725,NaN,79.27,8.746,0.336,0.525,0.327,0.078,0.12,0.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.935,90,14.994,1013.14,0.001,340.385,0.035,1.323e6,9,63.617,0.009,0.004,0.001
